p1,p2,p3,n1,n2,n3
0.047039,0.04911,0.051507,0.032574,0.048244,0.051882
0.04911,0.051507,0.032574,0.048244,0.051882,0.054777
0.051507,0.032574,0.048244,0.051882,0.054777,0.057135
0.032574,0.048244,0.051882,0.054777,0.057135,0.050882
0.048244,0.051882,0.054777,0.057135,0.050882,0.049541
0.051882,0.054777,0.057135,0.050882,0.049541,0.06437
0.054777,0.057135,0.050882,0.049541,0.06437,0.052873
0.057135,0.050882,0.049541,0.06437,0.052873,0.044942
0.050882,0.049541,0.06437,0.052873,0.044942,0.05045
0.049541,0.06437,0.052873,0.044942,0.05045,0.047795
0.06437,0.052873,0.044942,0.05045,0.047795,0.042365
0.052873,0.044942,0.05045,0.047795,0.042365,0.053168
0.044942,0.05045,0.047795,0.042365,0.053168,0.051865
0.05045,0.047795,0.042365,0.053168,0.051865,0.049358
0.047795,0.042365,0.053168,0.051865,0.049358,0.056496
0.042365,0.053168,0.051865,0.049358,0.056496,0.068318
0.053168,0.051865,0.049358,0.056496,0.068318,0.054389
0.051865,0.049358,0.056496,0.068318,0.054389,0.06037
0.049358,0.056496,0.068318,0.054389,0.06037,0.059254
0.056496,0.068318,0.054389,0.06037,0.059254,0.046457
0.068318,0.054389,0.06037,0.059254,0.046457,0.048849
0.054389,0.06037,0.059254,0.046457,0.048849,0.044288
0.06037,0.059254,0.046457,0.048849,0.044288,0.046112
0.059254,0.046457,0.048849,0.044288,0.046112,0.062542
0.046457,0.048849,0.044288,0.046112,0.062542,0.10694
0.048849,0.044288,0.046112,0.062542,0.10694,0.072267
0.044288,0.046112,0.062542,0.10694,0.072267,0.061107
0.046112,0.062542,0.10694,0.072267,0.061107,0.049597
0.062542,0.10694,0.072267,0.061107,0.049597,0.045791
0.10694,0.072267,0.061107,0.049597,0.045791,0.057949
0.072267,0.061107,0.049597,0.045791,0.057949,0.05831
0.061107,0.049597,0.045791,0.057949,0.05831,0.051092
0.049597,0.045791,0.057949,0.05831,0.051092,0.045509
0.045791,0.057949,0.05831,0.051092,0.045509,0.039189
0.057949,0.05831,0.051092,0.045509,0.039189,0.049574
0.05831,0.051092,0.045509,0.039189,0.049574,0.044322
0.051092,0.045509,0.039189,0.049574,0.044322,0.042005
0.045509,0.039189,0.049574,0.044322,0.042005,0.046587
0.039189,0.049574,0.044322,0.042005,0.046587,0.0423
0.049574,0.044322,0.042005,0.046587,0.0423,0.045499
0.044322,0.042005,0.046587,0.0423,0.045499,0.044511
0.042005,0.046587,0.0423,0.045499,0.044511,0.038491
0.046587,0.0423,0.045499,0.044511,0.038491,0.036536
0.0423,0.045499,0.044511,0.038491,0.036536,0.049292
0.045499,0.044511,0.038491,0.036536,0.049292,0.037658
0.044511,0.038491,0.036536,0.049292,0.037658,0.041126
0.038491,0.036536,0.049292,0.037658,0.041126,0.035967
0.036536,0.049292,0.037658,0.041126,0.035967,0.033598
0.049292,0.037658,0.041126,0.035967,0.033598,0.038905
0.037658,0.041126,0.035967,0.033598,0.038905,0.03876
0.041126,0.035967,0.033598,0.038905,0.03876,0.035784
0.035967,0.033598,0.038905,0.03876,0.035784,0.039353
0.033598,0.038905,0.03876,0.035784,0.039353,0.041156
0.038905,0.03876,0.035784,0.039353,0.041156,0.043689
0.03876,0.035784,0.039353,0.041156,0.043689,0.037123
0.035784,0.039353,0.041156,0.043689,0.037123,0.035047
0.039353,0.041156,0.043689,0.037123,0.035047,0.049191
0.041156,0.043689,0.037123,0.035047,0.049191,0.048741
0.043689,0.037123,0.035047,0.049191,0.048741,0.052381
0.037123,0.035047,0.049191,0.048741,0.052381,0.050562
